name,type,value,date,color
Aleksey Dreev,RUS,2662,2014-08-27,#D52B1E
Aleksey Dreev,RUS,2662,2014-09-27,#D52B1E
Aleksey Dreev,RUS,2654,2014-10-27,#D52B1E
Aleksey Dreev,RUS,2662,2016-03-27,#D52B1E
Aleksey Dreev,RUS,2662,2016-04-27,#D52B1E
Aleksey Dreev,RUS,2662,2016-05-27,#D52B1E
Aleksey Dreev,RUS,2664,2016-06-27,#D52B1E
Aleksey Dreev,RUS,2664,2016-07-27,#D52B1E
Aleksey Dreev,RUS,2660,2016-08-27,#D52B1E
Aleksey Dreev,RUS,2660,2016-09-27,#D52B1E
Aleksey Dreev,RUS,2660,2016-10-27,#D52B1E
Alex Yermolinsky,USA,2596,2000-07-27,#3c3b6e
Alexander Areshchenko,UKR,2652,2017-07-27,#005BBB
Alexander Areshchenko,UKR,2652,2017-08-27,#005BBB
Alexander Areshchenko,UKR,2652,2018-06-27,#005BBB
Alexander Areshchenko,UKR,2652,2018-08-27,#005BBB
Alexander Areshchenko,UKR,2652,2018-09-27,#005BBB
Alexander Areshchenko,UKR,2652,2018-10-27,#005BBB
Alexander Areshchenko,UKR,2652,2018-11-27,#005BBB
Alexander Areshchenko,UKR,2656,2018-12-27,#005BBB
Alexander Areshchenko,UKR,2661,2019-01-27,#005BBB
Alexander Areshchenko,UKR,2661,2019-02-24,#005BBB
Alexander Areshchenko,UKR,2625,2005-07-27,#005BBB
Alexander Areshchenko,UKR,2653,2005-10-27,#005BBB
Alexander Areshchenko,UKR,2670,2006-01-27,#005BBB
Alexander Areshchenko,UKR,2660,2006-04-27,#005BBB
Alexander Areshchenko,UKR,2641,2006-07-27,#005BBB
Alexander Areshchenko,UKR,2640,2006-10-27,#005BBB
Alexander Areshchenko,UKR,2644,2007-01-27,#005BBB
Alexander Areshchenko,UKR,2656,2007-04-27,#005BBB
Alexander Areshchenko,UKR,2645,2007-07-27,#005BBB
Alexander Areshchenko,UKR,2638,2007-10-27,#005BBB
Alexander Areshchenko,UKR,2645,2008-01-27,#005BBB
Alexander Areshchenko,UKR,2650,2008-04-27,#005BBB
Alexander Areshchenko,UKR,2664,2008-07-27,#005BBB
Alexander Areshchenko,UKR,2664,2008-10-27,#005BBB
Alexander Areshchenko,UKR,2673,2009-01-27,#005BBB
Alexander Areshchenko,UKR,2657,2009-04-27,#005BBB
Alexander Areshchenko,UKR,2651,2009-07-27,#005BBB
Alexander Areshchenko,UKR,2667,2009-09-27,#005BBB
Alexander Areshchenko,UKR,2664,2009-11-27,#005BBB
Alexander Areshchenko,UKR,2670,2010-01-27,#005BBB
Alexander Areshchenko,UKR,2670,2010-03-27,#005BBB
Alexander Areshchenko,UKR,2663,2010-05-27,#005BBB
